Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T105_001
"0110700","32000US0110700","Albertville, AL Micro Area; Alabama","Albertville, Alabama","al","320","00","ACSSF","0007774",,,,,"01",,,,,,,,,,,,,,"10700",,,,,,,,,,,,,,,,,,,,,,,,,,,,94318,27.7999992370605
"0111500","32000US0111500","Anniston-Oxford-Jacksonville, AL Metro Area; Alabama","Anniston-Oxford-Jacksonville, Alabama","al","320","00","ACSSF","0007775",,,,,"01",,,,,,,,,,,,,,"11500",,,,,,,,,,,,,,,,,,,,,,,,,,,,116648,31.1000003814697
"0112220","32000US0112220","Auburn-Opelika, AL Metro Area; Alabama","Auburn-Opelika, Alabama","al","320","00","ACSSF","0007776",,,,,"01",,,,,,,,,,,,,,"12220",,,,,,,,,,,,,,,,,,,,,,,,,,,,150982,36.2000007629395
"0113820","32000US0113820","Birmingham-Hoover, AL Metro Area; Alabama","Birmingham-Hoover, Alabama","al","320","00","ACSSF","0007777",,,,,"01",,,,,,,,,,,,,,"13820",,,,,,,,,,,,,,,,,,,,,,,,,,,,1138476,30.7000007629395
"0117980","32000US0117980","Columbus, GA-AL Metro Area (part); Alabama","Columbus, Alabama","al","320","00","ACSSF","0007778",,,,,"01",,,,,,,,,,,,,,"17980",,,,,,,,,,,,,,,,,,,,,,,,,,,,58302,29.5
"0118980","32000US0118980","Cullman, AL Micro Area; Alabama","Cullman, Alabama","al","320","00","ACSSF","0007779",,,,,"01",,,,,,,,,,,,,,"18980",,,,,,,,,,,,,,,,,,,,,,,,,,,,80965,29.6000003814697
"0119300","32000US0119300","Daphne-Fairhope-Foley, AL Metro Area; Alabama","Daphne-Fairhope-Foley, Alabama","al","320","00","ACSSF","0007780",,,,,"01",,,,,,,,,,,,,,"19300",,,,,,,,,,,,,,,,,,,,,,,,,,,,195121,30.2999992370605
"0119460","32000US0119460","Decatur, AL Metro Area; Alabama","Decatur, Alabama","al","320","00","ACSSF","0007781",,,,,"01",,,,,,,,,,,,,,"19460",,,,,,,,,,,,,,,,,,,,,,,,,,,,153372,26.6000003814697
"0120020","32000US0120020","Dothan, AL Metro Area; Alabama","Dothan, Alabama","al","320","00","ACSSF","0007782",,,,,"01",,,,,,,,,,,,,,"20020",,,,,,,,,,,,,,,,,,,,,,,,,,,,147601,29.2000007629395
"0121460","32000US0121460","Enterprise, AL Micro Area; Alabama","Enterprise, Alabama","al","320","00","ACSSF","0007783",,,,,"01",,,,,,,,,,,,,,"21460",,,,,,,,,,,,,,,,,,,,,,,,,,,,50884,27
"0122520","32000US0122520","Florence-Muscle Shoals, AL Metro Area; Alabama","Florence-Muscle Shoals, Alabama","al","320","00","ACSSF","0007784",,,,,"01",,,,,,,,,,,,,,"22520",,,,,,,,,,,,,,,,,,,,,,,,,,,,147181,29.6000003814697
"0123460","32000US0123460","Gadsden, AL Metro Area; Alabama","Gadsden, Alabama","al","320","00","ACSSF","0007785",,,,,"01",,,,,,,,,,,,,,"23460",,,,,,,,,,,,,,,,,,,,,,,,,,,,103766,30.5
"0126620","32000US0126620","Huntsville, AL Metro Area; Alabama","Huntsville, Alabama","al","320","00","ACSSF","0007786",,,,,"01",,,,,,,,,,,,,,"26620",,,,,,,,,,,,,,,,,,,,,,,,,,,,435243,28.5
"0133660","32000US0133660","Mobile, AL Metro Area; Alabama","Mobile, Alabama","al","320","00","ACSSF","0007787",,,,,"01",,,,,,,,,,,,,,"33660",,,,,,,,,,,,,,,,,,,,,,,,,,,,414251,33.4000015258789
"0133860","32000US0133860","Montgomery, AL Metro Area; Alabama","Montgomery, Alabama","al","320","00","ACSSF","0007788",,,,,"01",,,,,,,,,,,,,,"33860",,,,,,,,,,,,,,,,,,,,,,,,,,,,374864,31.2999992370605
"0137120","32000US0137120","Ozark, AL Micro Area; Alabama","Ozark, Alabama","al","320","00","ACSSF","0007789",,,,,"01",,,,,,,,,,,,,,"37120",,,,,,,,,,,,,,,,,,,,,,,,,,,,49866,27.2000007629395
"0142460","32000US0142460","Scottsboro, AL Micro Area; Alabama","Scottsboro, Alabama","al","320","00","ACSSF","0007790",,,,,"01",,,,,,,,,,,,,,"42460",,,,,,,,,,,,,,,,,,,,,,,,,,,,52860,26.3999996185303
"0142820","32000US0142820","Selma, AL Micro Area; Alabama","Selma, Alabama","al","320","00","ACSSF","0007791",,,,,"01",,,,,,,,,,,,,,"42820",,,,,,,,,,,,,,,,,,,,,,,,,,,,42154,36.5
"0145180","32000US0145180","Talladega-Sylacauga, AL Micro Area; Alabama","Talladega-Sylacauga, Alabama","al","320","00","ACSSF","0007792",,,,,"01",,,,,,,,,,,,,,"45180",,,,,,,,,,,,,,,,,,,,,,,,,,,,92464,30.2999992370605
